"SC","名称","市場区分","貸借申込日","決済日","発表元","貸借値段（円）","貸株超過数（株・口）","最高料率（1日・円）","品貸料率（円）","品貸料率（％）","品貸日数","前日料率（1日・円）","備考","規制"
"3639","ボルテージ","東証","20231020","20231024","日証金","262.00","0","1.00","-","0","-","-","満額",""
"3659","ネクソン","東証","20231020","20231024","日証金","2500.00","12800","5.00","0.05","0.002","1","-","",""
"3662","エイチーム","東証","20231020","20231024","日証金","555.00","0","2.40","-","0","-","-","満額",""
"3673","ブロードリーフ","東証","20231020","20231024","日証金","518.00","67400","1.20","0.05","0.00965251","1","0.05","",""
"3678","メディアドゥ","東証","20231020","20231024","日証金","1197.00","0","2.40","-","0","-","-","満額",""
"3679","じげん","東証","20231020","20231024","日証金","506.00","0","1.20","-","0","-","-","満額",""
"3681","ブイキューブ","東証","20231020","20231024","日証金","349.00","0","2.00","-","0","-","-","満額","注意"
"3683","サイバーリンクス","東証","20231020","20231024","日証金","719.00","100","1.60","0.00","0","1","0.00","",""
"3686","ディー・エル・イー","東証","20231020","20231024","日証金","235.00","28300","1.00","0.00","0","1","-","",""
"3688","ＣＡＲＴＡ　ＨＤ","東証","20231020","20231024","日証金","1182.00","1800","2.40","0.00","0","1","0.00","",""
"3690","イルグルム","東証","20231020","20231024","日証金","482.00","11300","1.00","0.00","0","1","0.00","",""
"3697","ＳＨＩＦＴ","東証","20231020","20231024","日証金","26420.00","0","53.00","-","0","-","-","満額",""
"3708","特種東海製紙","東証","20231020","20231024","日証金","3450.00","0","7.00","-","0","-","-","満額",""
"3744","サイオス","東証","20231020","20231024","日証金","381.00","8100","1.00","0.00","0","1","0.00","",""
"3778","さくらインターネット","東証","20231020","20231024","日証金","1119.00","273900","4.80","0.05","0.00446828","1","0.05","","注意"
"3791","ＩＧポート","東証","20231020","20231024","日証金","4040.00","7800","8.20","0.10","0.00247525","1","0.10","",""
"3793","ドリコム","東証","20231020","20231024","日証金","557.00","120200","1.20","0.00","0","1","0.00","",""
"3807","フィスコ","東証","20231020","20231024","日証金","102.00","0","1.00","-","0","-","-","満額",""
"3865","北越コーポレーション","東証","20231020","20231024","日証金","1037.00","43300","2.20","0.05","0.0048216","1","0.05","",""
"3903","ｇｕｍｉ","東証","20231020","20231024","日証金","451.00","429300","4.00","0.05","0.0110865","1","0.05","","停止"
"3914","ＪＩＧ－ＳＡＷ","東証","20231020","20231024","日証金","3635.00","0","14.80","-","0","-","-","満額","注意"
"3923","ラクス","東証","20231020","20231024","日証金","1800.50","330800","3.80","0.05","0.00277701","1","0.05","",""
"3955","イムラ","東証","20231020","20231024","日証金","1163.00","0","2.40","-","0","-","-","満額",""
"3993","ＰＫＳＨＡ","東証","20231020","20231024","日証金","2575.00","0","5.20","-","0","-","-","満額",""
"3994","マネーフォワード","東証","20231020","20231024","日証金","3772.00","0","7.60","-","0","-","-","満額",""
"3996","サインポスト","東証","20231020","20231024","日証金","488.00","73000","1.00","0.05","0.0102459","1","0.05","",""
"3997","トレードワークス","東証","20231020","20231024","日証金","1048.00","0","4.40","-","0","-","0.05","満額","停止"
"4004","レゾナックＨＤ","東証","20231020","20231024","日証金","2457.50","5400","5.00","0.00","0","1","-","",""
