"SC","名称","市場区分","申込日","発表元","確報","融資新規（株・口）","融資返済（株・口）","融資残高（株・口）","貸株新規（株・口）","貸株返済（株・口）","貸株残高（株・口）","差引残高（株・口）","差引前日比（株・口）"
"4829","日本エンタープライズ","東証","20240214","日証金","確報","0","0","55700","0","100","5400","50300","100"
"4832","ＪＦＥシステムズ","東証","20240214","日証金","確報","0","300","1500","0","0","0","1500","-300"
"4833","サクセスＨ","東証","20240214","日証金","確報","0","2100","13200","0","0","0","13200","-2100"
"4834","キャリアバンク","札証","20240214","日証金","確報","0","0","600","0","0","0","600","0"
"4837","シダックス","東証","20240214","日証金","確報","0","0","2100","0","0","0","2100","0"
"4838","スペースシャワー","東証","20240214","日証金","確報","0","3000","4700","0","0","0","4700","-3000"
"4839","ワウワウ","東証","20240214","日証金","確報","200","700","5000","0","500","5000","0","0"
"4840","トライアイズ","東証","20240214","日証金","確報","200","0","1200","0","0","0","1200","200"
"4845","スカラ","東証","20240214","日証金","確報","400","0","7000","0","1000","1400","5600","1400"
"4847","インテリジェントウェ","東証","20240214","日証金","確報","4500","600","11900","800","0","5600","6300","3100"
"4848","フルキャストＨＤ","東証","20240214","日証金","確報","9000","6100","38900","100","2100","200","38700","4900"
"4849","エン・ジャパン","東証","20240214","日証金","確報","500","1800","7500","100","4400","18100","-10600","3000"
"4875","メディシノバ・インク","東証","20240214","日証金","確報","0","900","55000","0","0","0","55000","-900"
"4880","セルソース","東証","20240214","日証金","確報","400","0","37600","0","0","0","37600","400"
"4881","ファンペップ","東証","20240214","日証金","確報","600","0","26700","0","0","0","26700","600"
"4882","ペルセウス","東証","20240214","日証金","確報","0","3300","75100","0","0","0","75100","-3300"
"4883","モダリス","東証","20240214","日証金","確報","10700","4800","122300","0","0","0","122300","5900"
"4884","クリングルファーマ","東証","20240214","日証金","確報","3000","1000","12600","0","0","0","12600","2000"
"4885","室町ケミカル","東証","20240214","日証金","確報","200","3000","3300","0","0","3300","0","-2800"
"4886","あすか製薬ＨＤ","東証","20240214","日証金","確報","0","900","6300","100","1000","6300","0","0"
"4887","サワイグループＨＤ","東証","20240214","日証金","確報","1200","200","1200","1700","12600","96500","-95300","11900"
"4888","ステラファーマ","東証","20240214","日証金","確報","1000","0","22700","0","0","0","22700","1000"
"4889","レナサイエンス","東証","20240214","日証金","確報","2000","2600","15400","0","0","0","15400","-600"
"4890","坪田ラボ","東証","20240214","日証金","確報","0","800","19700","0","0","0","19700","-800"
"4891","ティムス","東証","20240214","日証金","確報","0","6600","151700","0","0","0","151700","-6600"
"4892","サイフューズ","東証","20240214","日証金","確報","2000","0","22500","0","0","0","22500","2000"
"4893","ノイルイミューン","東証","20240214","日証金","確報","5500","200","36000","0","0","0","36000","5300"
"4894","クオリプス","東証","20240214","日証金","確報","100","6300","15500","0","0","0","15500","-6200"
"4896","ケイファーマ","東証","20240214","日証金","確報","100","100","10400","0","0","0","10400","0"
"4901","富士フイルムＨＤ","東証","20240214","日証金","確報","1000","4000","43100","0","0","0","43100","-3000"
"4902","コニカミノルタ","東証","20240214","日証金","確報","173300","2000","244100","15100","29200","471600","-227500","185400"
"4911","資生堂","東証","20240214","日証金","確報","42400","3200","145800","49900","8100","55100","90700","-2600"
"4912","ライオン","東証","20240214","日証金","確報","700","2200","41700","6000","0","6100","35600","-7500"
"4914","高砂香料工業","東証","20240214","日証金","確報","0","0","0","100","500","11000","-11000","400"
"4917","マンダム","東証","20240214","日証金","確報","200","700","10600","0","300","4400","6200","-200"
"4918","アイビー化粧品","東証","20240214","日証金","確報","0","100","6700","0","0","0","6700","-100"
"4919","ミルボン","東証","20240214","日証金","確報","1300","600","2600","600","700","1300","1300","800"
"4920","日本色材工業研究所","東証","20240214","日証金","確報","100","0","1800","0","0","0","1800","100"
"4921","ファンケル","東証","20240214","日証金","確報","400","1300","14900","0","200","600","14300","-700"
"4922","コーセー","東証","20240214","日証金","確報","5900","1000","26300","0","700","500","25800","5600"
"4923","コタ","東証","20240214","日証金","確報","0","0","5700","0","0","5700","0","0"
"4925","ハーバー研究所","東証","20240214","日証金","確報","0","0","1400","0","0","0","1400","0"
"4926","シーボン","東証","20240214","日証金","確報","0","0","0","0","0","0","0","0"
"4927","ポーラオルビスＨＤ","東証","20240214","日証金","確報","4900","0","36000","0","0","0","36000","4900"
"4928","ノエビアＨＤ","東証","20240214","日証金","確報","1000","0","1900","0","0","200","1700","1000"
"4929","アジュバンＨＤ","東証","20240214","日証金","確報","100","0","4500","100","0","4500","0","0"
"4930","グラフィコ","東証","20240214","日証金","確報","0","0","1600","0","0","0","1600","0"
"4931","新日本製薬","東証","20240214","日証金","確報","1000","0","4500","100","0","2900","1600","900"
"4932","アルマード","東証","20240214","日証金","確報","1100","0","19700","0","0","0","19700","1100"
"4933","Ｉ－ｎｅ","東証","20240214","日証金","確報","0","500","40600","0","0","0","40600","-500"
"4934","Ｐアンチエイジ","東証","20240214","日証金","確報","5400","5300","150100","100","0","150100","0","0"
"4935","リベルタ","東証","20240214","日証金","確報","0","0","1100","0","0","0","1100","0"
"4936","アクシージア","東証","20240214","日証金","確報","0","500","42400","0","0","6100","36300","-500"
"4937","Ｗａｑｏｏ","東証","20240214","日証金","確報","0","500","16300","0","0","0","16300","-500"
"4951","エステー","東証","20240214","日証金","確報","200","0","500","400","0","500","0","-200"
"4955","アグロ　カネショウ","東証","20240214","日証金","確報","100","200","1700","0","200","300","1400","100"
"4956","コニシ","東証","20240214","日証金","確報","200","100","1900","300","0","400","1500","-200"
"4957","ヤスハラケミカル","東証","20240214","日証金","確報","100","100","2100","0","0","2100","0","0"
"4958","長谷川香料","東証","20240214","日証金","確報","700","100","700","0","0","800","-100","600"
"4960","ケミプロ化成","東証","20240214","日証金","確報","0","0","0","0","0","0","0","0"
"4966","上村工業","東証","20240214","日証金","確報","0","400","0","0","0","0","0","-400"
"4967","小林製薬","東証","20240214","日証金","確報","0","2300","23200","100","3500","3600","19600","1100"
"4968","荒川化学工業","東証","20240214","日証金","確報","2500","500","8000","200","800","4500","3500","2600"
"4970","東洋合成工業","東証","20240214","日証金","確報","0","200","10500","0","0","0","10500","-200"
"4971","メック","東証","20240214","日証金","確報","4900","0","13500","100","1700","67700","-54200","6500"
"4972","綜研化学","東証","20240214","日証金","確報","0","300","3900","0","0","0","3900","-300"
"4973","日本高純度化学","東証","20240214","日証金","確報","200","0","1100","0","0","0","1100","200"
"4974","タカラバイオ","東証","20240214","日証金","確報","0","900","20200","0","2900","6300","13900","2000"
"4975","ＪＣＵ","東証","20240214","日証金","確報","100","0","1000","100","100","400","600","100"
"4976","東洋ドライルーブ","東証","20240214","日証金","確報","0","100","3500","0","0","0","3500","-100"
"4977","新田ゼラチン","東証","20240214","日証金","確報","500","1600","2800","1300","0","2800","0","-2400"
"4978","リプロセル","東証","20240214","日証金","確報","25700","200","182100","0","0","0","182100","25500"
"4979","ＯＡＴアグリオ","東証","20240214","日証金","確報","300","600","1600","0","0","0","1600","-300"
"4980","デクセリアルズ","東証","20240214","日証金","確報","8300","3700","23500","4900","300","23500","0","0"
"4985","アース製薬","東証","20240214","日証金","確報","1800","100","5100","600","100","1000","4100","1200"
"4987","寺岡製作所","東証","20240214","日証金","確報","0","0","6900","0","0","0","6900","0"
"4990","昭和化学工業","東証","20240214","日証金","確報","0","200","1400","0","0","0","1400","-200"
"4992","北興化学工業","東証","20240214","日証金","確報","100","0","5200","0","800","1100","4100","900"
"4994","大成ラミック","東証","20240214","日証金","確報","100","300","100","0","300","0","100","100"
"4995","サンケイ化学","福証","20240214","日証金","確報","0","0","1200","0","0","0","1200","0"
"4996","クミアイ化学工業","東証","20240214","日証金","確報","1400","700","64600","0","0","0","64600","700"
