"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"6743","20240222","1","87700","-5300","-","-","-","64200","-5500","-","-","23500","200","-","-"
"6744","20240222","2","85400","-600","10000","-800","8.54","81100","-1100","7400","-800","4300","500","2600","-"
"6745","20240222","2","44400","-1800","6900","-500","6.43","22000","-","6900","-500","22400","-1800","-","-"
"6748","20240222","2","122000","15400","200","-","610","57800","13100","200","-","64200","2300","-","-"
"6750","20240222","2","72800","-500","56200","-2200","1.3","40200","-300","4800","-2200","32600","-200","51400","-"
"6752","20240222","2","10606200","415800","891000","-17100","11.9","5729900","123900","174100","-15000","4876300","291900","716900","-2100"
"6753","20240222","2","4032100","70700","1074500","-113700","3.75","2504300","57500","421500","-128700","1527800","13200","653000","15000"
"6754","20240222","2","1274200","-137600","159900","-7100","7.97","590000","-127500","46800","-14300","684200","-10100","113100","7200"
"6755","20240222","2","1967600","19500","14900","-2800","132.05","1777600","18100","-","-","190000","1400","14900","-2800"
"6757","20240222","1","136700","-5800","100","-","1367","88400","-2800","-","-","48300","-3000","100","-"
"6758","20240222","2","2885500","278200","219800","-43700","13.13","2177800","217600","159400","-40000","707700","60600","60400","-3700"
"6762","20240222","2","488500","-2500","467700","-7000","1.04","232100","-4500","352100","-7700","256400","2000","115600","700"
"6763","20240222","2","38800","5900","10900","-100","3.56","5100","1400","800","-100","33700","4500","10100","-"
"6768","20240222","2","1689100","-42100","84400","-20700","20.01","829700","-34700","48000","-20600","859400","-7400","36400","-100"
"6769","20240222","1","320900","3400","-","-","-","143300","-1900","-","-","177600","5300","-","-"
"6770","20240222","2","2139700","-239600","317300","34000","6.74","962200","-135200","144500","39300","1177500","-104400","172800","-5300"
"6771","20240222","2","266200","12800","2000","-400","133.1","193500","8400","2000","-400","72700","4400","-","-"
"6772","20240222","1","36000","900","-","-","-","9200","200","-","-","26800","700","-","-"
"6775","20240222","1","1558800","97700","-","-","-","573800","32700","-","-","985000","65000","-","-"
"6776","20240222","1","794200","13500","-","-","-","322600","18800","-","-","471600","-5300","-","-"
"6777","20240222","1","277600","10200","100","-100","2776","117500","5400","-","-","160100","4800","100","-100"
"6778","20240222","2","598400","2500","1900","-","314.95","258400","-4500","1900","-","340000","7000","-","-"
"6779","20240222","1","303700","400","9800","-200","30.99","140600","-3000","-","-","163100","3400","9800","-200"
"6785","20240222","2","88500","-1900","2600","-700","34.04","45400","300","2300","-700","43100","-2200","300","-"
"6786","20240222","1","741400","-94300","-","-","-","439300","36700","-","-","302100","-131000","-","-"
"6787","20240222","2","152600","1900","41200","5200","3.7","69900","4500","39300","5100","82700","-2600","1900","100"
"6788","20240222","2","96300","3000","1300","400","74.08","34100","200","1200","400","62200","2800","100","-"
"6789","20240222","2","110600","-8700","5900","-500","18.75","3000","-4200","1200","-100","107600","-4500","4700","-400"
"6794","20240222","2","421700","59400","5900","-2200","71.47","265300","32000","5600","-2200","156400","27400","300","-"
"6798","20240222","2","99400","200","12100","-700","8.21","5500","500","3200","-700","93900","-300","8900","-"
"6800","20240222","2","141800","-4600","17600","1500","8.06","29400","-5100","5700","-100","112400","500","11900","1600"
"6803","20240222","2","1677800","-23400","24700","14000","67.93","773100","-57200","24700","14000","904700","33800","-","-"
"6804","20240222","2","70400","-23300","40000","-5500","1.76","42800","-20800","28500","-5400","27600","-2500","11500","-100"
"6806","20240222","2","18000","5100","33000","-3700","0.55","11500","3400","6500","-800","6500","1700","26500","-2900"
"6807","20240222","2","521400","-16400","60700","-11600","8.59","329400","-35300","51500","-5300","192000","18900","9200","-6300"
"6809","20240222","2","47600","-1700","4700","700","10.13","26200","-2500","4700","700","21400","800","-","-"
"6810","20240222","2","244000","-6400","57200","-1600","4.27","147700","-13600","1300","-1600","96300","7200","55900","-"
"6814","20240222","2","430700","1200","38400","-1500","11.22","306600","-3200","34200","-1600","124100","4400","4200","100"
"6817","20240222","2","1481500","-3700","4300","-2300","344.53","1099600","20400","4300","-2200","381900","-24100","-","-100"
"6819","20240222","1","395200","-22800","-","-","-","344900","-29100","-","-","50300","6300","-","-"
"6820","20240222","2","35900","8500","26800","11200","1.34","6700","-1600","6700","1700","29200","10100","20100","9500"
"6822","20240222","1","84500","31000","-","-","-","27300","4300","-","-","57200","26700","-","-"
"6823","20240222","2","38100","-1100","11100","-1300","3.43","19700","1000","10200","-1700","18400","-2100","900","400"
"6824","20240222","1","12200","-900","-","-","-","5300","-100","-","-","6900","-800","-","-"
"6832","20240222","1","176900","22500","-","-3500","-","59600","9100","-","-","117300","13400","-","-3500"
"6834","20240222","2","147300","-2400","400","-","368.25","79200","-3000","400","-","68100","600","-","-"
"6835","20240222","1","3975700","91600","-","-","-","2012500","64000","-","-","1963200","27600","-","-"
"6836","20240222","1","120800","-13600","-","-","-","75900","-16500","-","-","44900","2900","-","-"
