"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"7975","20230630","2","5900","-900","-","-","-","2800","1100","-","-","3100","-2000","-","-"
"7976","20230630","2","66000","1200","19400","-500","3.4","58500","-600","8700","-500","7500","1800","10700","-"
"7979","20230630","2","18700","2800","1700","-900","11","13300","3100","1600","-900","5400","-300","100","-"
"7980","20230630","1","134000","-9600","-","-","-","76500","200","-","-","57500","-9800","-","-"
"7981","20230630","2","224800","-1500","14200","-1400","15.83","216300","1300","13600","-1400","8500","-2800","600","-"
"7983","20230630","1","33900","-200","-","-","-","12600","-1400","-","-","21300","1200","-","-"
"7984","20230630","2","54800","-10600","25500","-1600","2.15","51600","-6800","9300","-500","3200","-3800","16200","-1100"
"7985","20230630","1","19900","-1000","-","-","-","11200","-700","-","-","8700","-300","-","-"
"7986","20230630","1","8600","-300","-","-","-","1900","-300","-","-","6700","-","-","-"
"7987","20230630","2","55100","14400","9500","5900","5.8","28500","11800","7400","5900","26600","2600","2100","-"
"7988","20230630","2","6200","-","16900","7500","0.37","4800","100","13400","6900","1400","-100","3500","600"
"7989","20230630","2","13100","-2900","2900","-8800","4.52","10100","-900","1400","-700","3000","-2000","1500","-8100"
"7990","20230630","2","236400","-1700","25800","200","9.16","124100","4900","3100","300","112300","-6600","22700","-100"
"7991","20230630","2","490100","43500","13700","6900","35.77","328600","35100","13700","6900","161500","8400","-","-"
"7992","20230630","1","428700","12000","-","-","-","302200","12500","-","-","126500","-500","-","-"
"7994","20230630","2","12600","-4600","27400","-1400","0.46","7200","-1100","25800","-1700","5400","-3500","1600","300"
"7995","20230630","2","40500","-5200","30700","2200","1.32","12700","-2200","22700","2200","27800","-3000","8000","-"
"7997","20230630","1","89400","1400","-","-","-","58300","2500","-","-","31100","-1100","-","-"
"7999","20230630","2","33600","-400","3100","500","10.84","16900","-200","3100","500","16700","-200","-","-"
"8001","20230630","2","1586200","-88600","668100","-83900","2.37","1071400","-87100","535300","-87900","514800","-1500","132800","4000"
"8002","20230630","2","6970300","501900","2604500","-36100","2.68","4906300","330800","2304000","-6700","2064000","171100","300500","-29400"
"8005","20230630","2","245000","-3000","78600","-400","3.12","53600","1000","78300","-400","191400","-4000","300","-"
"8006","20230630","2","3800","500","-","-","-","1400","600","-","-","2400","-100","-","-"
"8007","20230630","2","30800","900","5000","-600","6.16","11600","900","4600","-500","19200","-","400","-100"
"8008","20230630","2","72800","-5500","21100","-700","3.45","36900","300","18700","-700","35900","-5800","2400","-"
"8011","20230630","2","132000","-30400","105200","35300","1.25","91600","-2800","104600","35300","40400","-27600","600","-"
"8012","20230630","2","33800","6100","23800","-3400","1.42","22100","3200","21100","-3400","11700","2900","2700","-"
"8013","20230630","2","226700","-","12000","-2900","18.89","175600","300","10700","-2900","51100","-300","1300","-"
"8014","20230630","2","165000","7600","5000","500","33","36300","5300","5000","500","128700","2300","-","-"
"8015","20230630","2","252300","-15800","115300","-17700","2.19","140600","-9700","79800","-3700","111700","-6100","35500","-14000"
"8016","20230630","2","1396800","-81000","191400","5700","7.3","808800","57800","174900","2700","588000","-138800","16500","3000"
"8018","20230630","2","146500","79600","1800","-","81.39","49700","-9800","1500","-","96800","89400","300","-"
"8020","20230630","2","828100","47700","100000","18300","8.28","229300","23100","79300","-","598800","24600","20700","18300"
"8022","20230630","2","95700","9500","39000","-8100","2.45","74200","8200","33300","-8000","21500","1300","5700","-100"
"8023","20230630","1","462000","700","-","-","-","108800","-1900","-","-","353200","2600","-","-"
"8025","20230630","1","5700","-300","3000","-","1.9","2800","-200","-","-","2900","-100","3000","-"
"8029","20230630","2","72000","-36500","17500","-400","4.11","56800","-10700","17200","-400","15200","-25800","300","-"
"8030","20230630","2","1200","100","200","-","6","1000","100","200","-","200","-","-","-"
"8031","20230630","2","3169800","94100","874100","-126400","3.63","2373600","69300","680600","-104800","796200","24800","193500","-21600"
"8032","20230630","2","7600","900","2000","-100","3.8","5000","200","1900","-100","2600","700","100","-"
"8035","20230630","2","1125100","-325400","937900","50000","1.2","691600","-257100","773400","43200","433500","-68300","164500","6800"
"8037","20230630","2","230300","-500","1600","-600","143.94","57400","-1400","1500","-600","172900","900","100","-"
"8038","20230630","2","300","-200","-","-","-","100","-200","-","-","200","-","-","-"
"8039","20230630","2","7000","2300","-","-","-","4000","-200","-","-","3000","2500","-","-"
"8040","20230630","1","86200","-500","-","-","-","24200","-500","-","-","62000","-","-","-"
"8041","20230630","2","21000","1300","-","-","-","18600","1300","-","-","2400","-","-","-"
"8043","20230630","2","17400","5500","2500","-400","6.96","5000","700","2100","-400","12400","4800","400","-"
"8045","20230630","1","2000","400","-","-","-","1400","-","-","-","600","400","-","-"
"8046","20230630","2","65200","1900","1800","100","36.22","25600","900","1800","100","39600","1000","-","-"
"8050","20230630","2","307500","-8900","31100","4800","9.89","234900","-8500","14400","4900","72600","-400","16700","-100"
"8051","20230630","2","76400","-4200","86800","-16100","0.88","15400","-","36700","-16100","61000","-4200","50100","-"
"8052","20230630","2","25300","200","600","200","42.17","6400","-400","500","100","18900","600","100","100"
