"SC","名称","決算期","決算発表日（本決算）","売上高（百万円）","営業利益（百万円）","経常利益（百万円）","当期利益（百万円）","総資産（百万円）","自己資本（百万円）","資本金（百万円）","有利子負債（百万円）","自己資本比率","ROE","ROA","発行済株式数"
"1518","三井松島ホールディングス","202203","20220513","46592","8417","8595","5396","67837","35435","8571","11827","52.2","16.44","7.79","13064400"
"1605","INPEX","202212","20230209","2324660","1246408","1438242","438276","6262304","3776844","290809","1270247","60.3","12.7","7.68","1386667167"
"1662","石油資源開発","202203","20220513","249140","19809","43674","-30988","471941","371639","14288","770","78.7","-8.03","-5.65","54300076"
"1663","K＆Oエナジーグループ","202212","20230213","106200","7304","7931","4766","109823","84081","8000","953","76.6","5.87","4.56","28336061"
"1711","SDSホールディングス","202203","20220512","1034","-260","-298","-333","921","595","1882","-","64.6","-105.71","-55.59","8732773"
"1712","ダイセキ環境ソリューション","202202","20220405","17082","2102","2112","1252","21279","14349","2287","3334","67.4","9.14","5.88","16827120"
"1716","第一カッター興業","202206","20220812","20949","2502","2704","1580","19408","15023","470","187","77.4","11.03","8.45","12000000"
"1717","明豊ファシリティワークス","202203","20220513","4260","865","865","606","5718","4270","543","-","74.7","14.82","10.8","12775900"
"1718","美樹工業","202212","20230214","30758","1102","1181","734","30998","14612","764","4423","47.1","5.13","2.38","1153263"
"1719","安藤・間","202203","20220513","340293","26600","25838","17671","295332","140921","17006","24715","47.7","12.32","5.57","181021197"
"1720","東急建設","202203","20220512","258083","-6078","-5132","-7459","237811","92490","16354","22431","38.9","-7.63","-3.21","106761205"
"1721","コムシスホールディングス","202203","20220512","589028","42963","44036","29208","524062","338032","10000","32331","64.5","8.78","5.82","141000000"
"1723","日本電技","202203","20220506","31669","4074","4139","3029","38571","28865","470","-","74.8","10.91","7.95","8197500"
"1724","シンクレイヤ","202212","20230214","9965","414","438","294","11333","5332","835","2986","47","5.67","2.71","4943780"
