"SC","名称","市場","業種","時価総額（百万円）","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"4192","スパイダープラス","東証GR","情報通信","24219","35099600","0","0","-","7.15","-","96.46","69000","100","20230621","954","20230501","503"
"4193","ファブリカコミュニケーションズ","東証ST","情報通信","9912","5458200","1.98","36","14.89","2.76","122","658.26","181600","100","20230112","3980","20231129","1684"
"4194","ビジョナル","東証PR","情報通信","339600","39214800","0","0","30.99","7.98","279.41","1085.78","866000","100","20240116","10100","20230412","6410"
"4196","ネオマーケティング","東証ST","情報通信","2367","2526000","0","0","16.48","3.41","56.85","274.73","93700","100","20230720","1956","20240301","913"
"4197","アスマーク","東証ST","情報通信","2953","1085600","2.65","72","10.46","2.66","260","1023.48","272000","100","20240220","3495","20231218","1659"
"4198","テンダ","東証ST","情報通信","5168","2184200","2.11","50","15.65","2.16","151.23","1093.78","236600","100","20231221","2666","20230105","1611"
"4199","ワンダープラネット","東証GR","情報通信","4125","2592412","0","0","-","6.27","-","253.95","159100","100","20240228","1700","20230116","1000"
"4202","ダイセル","東証PR","化学","428836","286942682","3.35","50","7.87","1.27","189.83","1178.41","149450","100","20231106","1540","20230203","860"
"4203","住友ベークライト","東証PR","化学","418301","46878978","1.68","150","19.41","1.49","459.79","5974.43","892300","100","20240301","8942","20230105","3830"
"4204","積水化学工業","東証PR","化学","950387","448507285","3.35","71","12.03","1.21","176.13","1747.84","211900","100","20230915","2286","20230203","1782"
"4205","日本ゼオン","東証PR","化学","292859","229513656","3.13","40","10.17","0.76","125.42","1687.45","127600","100","20230915","1750","20230206","1196"
"4206","アイカ工業","東証PR","化学","241434","67590664","3.11","111","15.65","1.44","228.24","2482.44","357200","100","20240301","3589","20230531","2950"
"4208","UBE","東証PR","化学","268580","106200107","3.95","100","11.42","0.64","221.52","3965.66","252900","100","20230920","2724","20230116","1906"
"4212","積水樹脂","東証PR","化学","85882","33313598","2.52","65","20.01","0.89","128.86","2901.48","257800","100","20240130","2656","20230106","1799"
"4215","タキロンシーアイ","東証PR","化学","63341","97597530","3.39","22","12.63","0.68","51.38","956.53","64900","100","20240122","670","20230410","487"
"4216","旭有機材","東証PR","化学","92171","19800400","2.15","100","8.92","1.29","521.86","3600.91","465500","100","20230801","5040","20230106","2602"
"4218","ニチバン","東証PR","化学","39070","20738006","1.86","35","25.85","0.94","72.87","2011.83","188400","100","20230808","2128","20231213","1680"
"4220","リケンテクノス","東証PR","化学","54604","55775107","2.96","29","9.45","0.86","103.57","1132.37","97900","100","20240207","1006","20230106","471"
"4221","大倉工業","東証PR","化学","39914","12414870","3.42","110","9.04","0.64","355.57","5031.25","321500","100","20240301","3320","20230104","1781"
"4222","児玉化学工業","東証ST","化学","2106","7859191","-","-","-","0.54","-21.82","499.65","26800","100","20230302","446","20231227","248"
"4224","ロンシール工業","東証ST","化学","8145","4625309","3.69","65","10.82","0.43","162.73","4108.52","176100","100","20240206","1861","20230106","1220"
"4228","積水化成品工業","東証PR","化学","22977","46988109","2.45","12","40.31","0.39","12.13","1239.04","48900","100","20231207","512","20230105","376"
"4229","群栄化学工業","東証PR","化学","32889","8998308","2.74","100","11.54","0.52","316.8","7091.47","365500","100","20240216","3750","20230106","2334"
"4231","タイガースポリマー","東証ST","化学","22646","20111598","4","45","7.73","0.56","145.69","1999.54","112600","100","20240220","1195","20230120","395"
"4234","サンエー化研","東証ST","化学","6090","11320000","3.35","18","17.84","0.28","30.15","1901.43","53800","100","20240126","558","20230104","442"
"4235","ウルトラファブリックス・ホールディングス","東証ST","化学","19986","16923200","3.3","39","7.67","1.42","154.06","833.4","118100","100","20230726","2475","20231215","1119"
"4237","フジプレアム","東証ST","化学","10693","29786400","1.67","6","18.09","1.05","19.84","341.66","35900","100","20230126","472","20231024","334"
"4238","ミライアル","東証ST","化学","16091","10120000","2.52","40","11.84","0.66","134.26","2408.25","159000","100","20230526","1757","20231031","1330"
