"SC","名称","市場","業種","時価総額（百万円）","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"5695","パウダーテック","東証ST","鉄鋼","6775","2970000","3.95","90","9.31","0.53","245.07","4327.81","228100","100","20230726","2600","20230330","2130"
"5697","サンユウ","東証ST","鉄鋼","3314","6091000","2.57","14","11.74","0.36","46.32","1524.41","54400","100","20230306","802","20230630","504"
"5698","エンビプロ・ホールディングス","東証PR","鉄鋼","18816","30153872","2.56","16","11.1","1.13","56.22","551.66","62400","100","20230125","778","20230713","514"
"5699","イボキン","東証ST","鉄鋼","3797","3427200","2.03","22.5","10.56","0.96","104.95","1151.02","110800","100","20230104","1418","20231024","1100"
"5702","大紀アルミニウム工業所","東証PR","非鉄金属","52442","43629235","4.99","60","17.97","0.71","66.89","1696.55","120200","100","20230726","1584","20231024","1170"
"5703","日本軽金属ホールディングス","東証PR","非鉄金属","96338","61993750","3.22","50","12.83","0.46","121.12","3354.98","155400","100","20230920","1812","20230601","1322"
"5704","JMC","東証GR","非鉄金属","5955","5350000","0","0","22.79","2.24","48.83","497.47","111300","100","20231002","1536","20230601","609"
"5706","三井金属鉱業","東証PR","非鉄金属","218243","57356856","3.68","140","22.88","0.86","166.27","4399.8","380500","100","20230921","4110","20230105","3045"
"5707","東邦亜鉛","東証PR","非鉄金属","21696","13585521","3.13","50","43.37","0.45","36.82","3532.43","159700","100","20230307","2271","20231004","1517"
"5711","三菱マテリアル","東証PR","非鉄金属","309198","131489535","4","94","7.49","0.51","313.86","4656.38","235150","100","20230802","2668","20230105","2010"
"5713","住友金属鉱山","東証PR","非鉄金属","1195246","290814015","1.31","54","21.31","0.68","192.89","6002.82","411000","100","20230302","5515","20231024","4004"
"5714","DOWAホールディングス","東証PR","非鉄金属","277526","61989206","2.46","110","13.32","0.76","336.02","5910.42","447700","100","20230921","5054","20230104","3945"
"5715","古河機械金属","東証PR","非鉄金属","77049","40445568","2.62","50","4.75","0.68","401.41","2781.09","190500","100","20231023","1946","20230106","1236"
"5721","エス・サイエンス","東証ST","非鉄金属","3257","141593749","0","0","22.55","1.16","1.02","19.76","2300","100","20230208","28","20230928","22"
"5724","アサカ理研","東証ST","非鉄金属","5911","5144600","0.7","8","24.54","1.38","46.82","834.22","114900","100","20230308","1533","20231024","1119"
"5726","大阪チタニウムテクノロジーズ","東証PR","非鉄金属","109701","36800000","1.34","40","20.7","3.47","144.03","859.46","298100","100","20230125","4025","20230509","2580"
"5727","東邦チタニウム","東証PR","非鉄金属","125579","71270910","0.68","12","43.24","2.38","40.75","740.67","176200","100","20230124","2829","20230509","1592"
"5729","日本精鉱","東証ST","非鉄金属","6773","2605900","3.08","80","12.2","0.68","213.09","3806.08","259900","100","20230308","3190","20230825","2582"
"5741","UACJ","東証PR","非鉄金属","141215","48328193","2.91","85","9.39","0.54","311.07","5361.88","292200","100","20230921","3400","20230104","2171"
"5742","エヌアイシ・オートテック","東証ST","非鉄金属","4494","5500000","5.02","41","56.34","1.08","14.5","755.61","81700","100","20230927","869","20230120","775"
"5753","日本伸銅","東証ST","非鉄金属","4550","2370000","0.52","10","6.33","0.39","303.55","4942.26","192000","100","20230206","2105","20230113","1906"
"5757","CKサンエツ","東証PR","非鉄金属","31212","8867000","1.99","70","7.11","0.66","495.02","5351.57","352000","100","20230703","4490","20231004","3375"
"5759","日本電解","東証GR","非鉄金属","12706","9050000","0","0","-","1.71","-121.55","822","140400","100","20230227","2480","20231024","1315"
"5781","東邦金属","東証ST","非鉄金属","2899","2338001","0","0","19.17","0.8","64.7","1552.02","124000","100","20230314","2411","20230117","820"
"5801","古河電気工業","東証PR","非鉄金属","163170","70666917","2.6","60","12.5","0.53","184.67","4352.15","230900","100","20230802","2845","20231004","2224"
"5802","住友電気工業","東証PR","非鉄金属","1261572","793940571","3.15","50","12.39","0.64","128.23","2502.14","158900","100","20230802","1944","20230116","1456"
"5803","フジクラ","東証PR","非鉄金属","329592","295863421","4.04","45","7.49","1.05","148.66","1062.15","111400","100","20230814","1304","20230407","863"
"5805","SWCC","東証PR","非鉄金属","61777","30826861","3.74","75","8.56","0.88","234.17","2265.28","200400","100","20230915","2248","20230106","1689"
"5809","タツタ電線","東証PR","非鉄金属","48618","70156394","-","-","-","0.88","-","784.66","69300","100","20230111","717","20230926","685"
"5816","オーナンバ","東証ST","非鉄金属","9921","12558251","3.04","24","5.66","0.43","139.5","1852.1","79000","100","20230726","1050","20230206","686"
"5817","JMACS","東証ST","非鉄金属","2552","4691555","1.84","10","18.21","0.55","29.88","987.02","54400","100","20230928","655","20230106","429"
"5819","カナレ電気","東証ST","非鉄金属","9931","7028060","3.61","51","10.5","0.58","134.58","2422.2","141300","100","20230725","1500","20230320","1217"
"5820","三ッ星","東証ST","非鉄金属","8360","3799965","0.77","17","44.53","1.24","49.41","1776.97","220000","100","20230707","3140","20230306","827"
"5821","平河ヒューテック","東証PR","非鉄金属","25314","17627800","2.51","36","9.61","0.56","149.49","2546.31","143600","100","20230731","1780","20230106","1091"
"5830","いよぎんホールディングス","東証PR","銀行","329393","313408831","1.9","20","12.67","0.41","82.95","2575.88","105100","100","20230921","1145","20230118","681"
"5831","しずおかフィナンシャルグループ","東証PR","銀行","716198","585129069","2.78","34","12.14","0.58","100.79","2112.34","122400","100","20230915","1306","20230316","904"
"5832","ちゅうぎんフィナンシャルグループ","東証PR","銀行","212672","184771461","2.61","30","14.1","0.39","81.65","2970.71","115100","100","20231020","1184","20230608","845"
"5834","SBIリーシングサービス","東証GR","証券・先物","16751","7776800","1.39","30","5.98","0.92","360.05","2347.88","215400","100","20230126","3130","20230601","2025"
"5838","楽天銀行","東証PR","銀行","405497","174482380","0","0","12.58","1.71","184.8","1361.43","232400","100","20230926","2747","20230426","1785"
"5842","インテグラル","東証GR","証券・先物","60157","34975000","0","0","-","2.63","-","655.15","172000","100","20230922","2499","20231024","1639"
"5843","ニッポンインシュア","東証ST","その他金融","1654","2650000","0","0","10.08","1.5","61.89","416.23","62400","100","20231003","1036","20231019","598"
"5844","京都フィナンシャルグループ","東証PR","銀行","655264","75840688","-","-","-","-","-","-","864000","100","20231002","8741","20231004","8054"
"5851","リョービ","東証PR","非鉄金属","89385","32646143","2.56","70","10.55","0.61","259.51","4506.67","273800","100","20230920","3320","20230105","1115"
"5852","アーレスティ","東証PR","非鉄金属","17393","26076717","2.25","15","15.71","0.3","42.45","2247.03","66700","100","20230920","941","20230116","413"
"5856","エルアイイーエイチ","東証ST","小売","3371","74903800","-","-","-","1.19","-","37.7","4500","100","20230303","66","20231004","45"
"5857","AREホールディングス","東証PR","非鉄金属","146106","79708688","4.91","90","10.64","1.23","172.23","1490.74","183300","100","20230310","2096","20231005","1800"
"5884","クラダシ","東証GR","小売","4607","10763358","0","0","57.6","4.5","7.43","95.17","42800","100","20230630","879","20231024","403"
"5885","ジーデップ・アドバンス","東証ST","卸売","9926","1327000","0.83","62","24.06","4.92","310.94","1521.18","748000","100","20230705","18600","20231024","6950"
"5900","ダイケン","東証ST","金属製品","4687","5970480","1.91","15","13.24","0.34","59.27","2328.29","78500","100","20230929","979","20230104","695"
"5901","東洋製罐グループホールディングス","東証PR","金属製品","449932","182862162","3.66","90","27.08","0.69","90.86","3570.36","246050","100","20230919","2802","20230113","1551"
"5902","ホッカンホールディングス","東証PR","金属製品","20487","13469387","-","-","14.31","0.35","106.32","4342.61","152100","100","20230907","1620","20230601","1315"
"5903","シンポ","東証ST","金属製品","7308","6140850","2.94","35","9.21","1.07","129.16","1111.25","119000","100","20230502","1344","20230104","1125"
"5905","日本製罐","東証ST","金属製品","2248","1392000","4.33","70","8.25","0.43","195.71","3777.54","161500","100","20230801","1894","20230113","1108"
"5906","エムケー精工","東証ST","金属製品","5879","15595050","2.12","8","9.19","0.4","41.02","951.75","37700","100","20230418","438","20230104","339"
"5909","コロナ","東証ST","金属製品","26467","29342454","3.1","28","21.94","0.36","41.12","2488.65","90200","100","20230510","974","20230531","860"
"5911","横河ブリッジホールディングス","東証PR","金属製品","114689","43164802","3.39","90","10.25","0.93","259.15","2845.28","265700","100","20230921","2911","20230110","1822"
"5915","駒井ハルテック","東証PR","金属製品","10507","4972709","3.31","70","16.42","0.33","128.71","6389.77","211300","100","20231019","2205","20230106","1452"
"5918","瀧上工業","東証ST","金属製品","21662","2697600","1.25","100","44.02","0.43","182.4","18519.75","803000","100","20230929","8450","20230522","6700"
