"SC","è„èÍîNåé"
"4202","194905"
"4203","194905"
"4204","195303"
"4205","196109"
"4206","194905"
"4208","194905"
"4212","197104"
"4215","196110"
"4216","196110"
"4218","196110"
"4220","196110"
"4221","196201"
"4222","196207"
"4224","196209"
"4228","196409"
"4229","196305"
"4231","198702"
"4234","200004"
"4235","200302"
"4237","200406"
"4238","200507"
"4240","200604"
"4241","200606"
"4242","200706"
"4243","200709"
"4245","201312"
"4246","201403"
"4247","201406"
"4248","201412"
"4249","201712"
"4251","201910"
"4255","202112"
"4256","202112"
"4258","202112"
"4259","202112"
"4260","202112"
"4261","202112"
"4262","202112"
"4263","202112"
"4264","202112"
"4265","202112"
"4267","202202"
"4268","202202"
"4270","202202"
"4272","194905"
"4274","196306"
"4275","201310"
"4284","200107"
"4286","200107"
"4287","200107"
"4288","200107"
"4290","200107"
"4293","200108"
"4295","200109"
"4298","200109"
"4299","200109"
"4301","200109"
"4304","200109"
"4307","200112"
"4308","200109"
"4310","200205"
"4312","200110"
"4316","200201"
"4317","200110"
"4318","200110"
"4319","200110"
"4320","200110"
"4323","200111"
"4324","200111"
"4326","200111"
"4331","200112"
"4333","200112"
"4334","200112"
"4335","200112"
"4337","200201"
"4341","200202"
"4343","200202"
"4344","200612"
"4345","200203"
"4346","200203"
"4347","200203"
"4348","200203"
"4350","200203"
"4351","200203"
"4356","200204"
"4360","202110"
"4361","196110"
"4362","197912"
"4365","199111"
"4366","199610"
"4367","199710"
"4368","200105"
"4369","200708"
"4370","202109"
"4371","202109"
"4372","202109"
"4373","202109"
"4374","202109"
"4375","202109"
"4376","202110"
"4377","202110"
"4378","202110"
"4379","202111"
"4380","201802"
"4381","201803"
"4382","201804"
"4384","201805"
"4385","201806"
"4386","201806"
"4387","201806"
"4388","201806"
"4389","201806"
"4390","201806"
"4391","201807"
"4392","201807"
"4393","201807"
"4394","201807"
"4395","201807"
"4396","201808"
"4397","201808"
"4398","201809"
"4401","194905"
"4403","194909"
"4404","194905"
"4406","194909"
"4409","196205"
"4410","198511"
"4412","202111"
"4413","202111"
"4414","202112"
"4415","202112"
"4416","202112"
"4417","202112"
"4418","202112"
"4419","202112"
"4420","201810"
"4421","201810"
"4422","201810"
"4424","201812"
"4425","201812"
"4427","201812"
"4428","201812"
"4429","201902"
"4430","201902"
"4431","201902"
"4432","202103"
"4433","201903"
"4434","201903"
"4435","201903"
"4436","201903"
"4437","201903"
"4438","201903"
"4439","201904"
"4440","201904"
"4441","201904"
"4442","201905"
"4443","201906"
"4444","201906"
"4445","201906"
"4446","201907"
"4447","201909"
"4448","201909"
"4449","201909"
"4450","201910"
"4452","194905"
"4461","194905"
"4462","199111"
"4463","199309"
"4464","200106"
"4465","200304"
"4471","196805"
"4475","201910"
"4476","201910"
"4477","201910"
"4478","201912"
"4479","201912"
"4480","201912"
"4481","201912"
"4482","201912"
"4483","201912"
"4484","201912"
"4485","201912"
"4486","201912"
"4487","201912"
"4488","201912"
"4489","202106"
"4490","202003"
"4491","202003"
"4492","202003"
"4493","202003"
"4494","202011"
"4495","202007"
"4496","202006"
"4498","202104"
"4499","202007"
"4502","194905"
"4503","194905"
"4506","194905"
"4507","194905"
"4512","194905"
"4516","194906"
"4519","195603"
"4521","196110"
"4523","196109"
"4524","196106"
"4526","196110"
"4527","196110"
"4528","196206"
"4530","196209"
"4531","196210"
"4534","196305"
"4536","196311"
"4538","197010"
"4539","197110"
"4540","197808"
"4543","198206"
"4544","198309"
"4547","198812"
"4548","198911"
"4549","199001"
"4551","196306"
"4552","199210"
"4553","199407"
"4554","199506"
"4556","199512"
"4558","199708"
"4559","199812"
"4563","200209"
"4564","200312"
"4565","200407"
"4568","200509"
"4569","200603"
"4570","200703"
"4571","200803"
"4572","200803"
"4574","200903"
"4575","200909"
"4576","200910"
"4577","201003"
"4578","201012"
"4579","201107"
"4581","201110"
"4582","201110"
"4583","201112"
"4584","201211"
"4586","201302"
"4587","201306"
"4588","201312"
"4591","201409"
"4592","201504"
"4593","201506"
"4594","201510"
"4595","201512"
"4596","201612"
"4597","201703"
"4598","201810"
"4599","201908"
"4611","194905"
"4612","194905"
"4613","194905"
"4615","195106"
"4616","195307"
"4617","194907"
"4619","196110"
"4620","196208"
"4623","197704"
"4624","197912"
"4625","198806"
"4626","199009"
"4627","199306"
"4628","199410"
"4629","199510"
"4631","195005"
"4633","196110"
"4634","196110"
"4635","196110"
"4636","199708"
"4641","199606"
"4642","199607"
"4644","199607"
"4645","199607"
"4650","199609"
"4651","199609"
"4657","199611"
"4658","199611"
"4659","199611"
"4661","199612"
"4662","199612"
"4664","199701"
"4665","200612"
"4666","199703"
"4667","199704"
"4668","199704"
"4671","199704"
"4673","199707"
"4674","199707"
"4676","199708"
"4678","199709"
"4679","199709"
"4680","199708"
"4681","199709"
"4684","199812"
"4685","199710"
"4686","199710"
"4687","199710"
"4689","199711"
"4690","199711"
"4691","201910"
"4694","199911"
"4704","199808"
"4705","199809"
"4707","199810"
"4709","199811"
"4712","199811"
"4714","199812"
"4716","199902"
"4718","199902"
"4719","199904"
"4720","199904"
"4722","199906"
"4725","199907"
"4726","199907"
"4728","199908"
"4732","199909"
"4733","199910"
"4735","199910"
"4736","199911"
"4743","200002"
"4745","200003"
"4746","200003"
"4748","200003"
"4750","200003"
"4751","200003"
"4752","200004"
"4754","200004"
"4755","200004"
"4760","200006"
"4761","200006"
"4762","200006"
"4763","200006"
"4765","200006"
"4766","200007"
"4767","200007"
"4768","200007"
"4769","200007"
"4770","200007"
"4771","200007"
"4772","200007"
"4776","200008"
"4777","200008"
"4781","200008"
"4783","200009"
