"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"1366","20230714","2","1362004","-5297","33510","3352","40.64","984212","6830","33510","3352","377792","-12127","-","-"
"1367","20230714","2","4206","645","4409","-390","0.95","2467","374","4409","-390","1739","271","-","-"
"1368","20230714","2","123627","-10595","1054","90","117.29","66064","-14185","1054","90","57563","3590","-","-"
"1369","20230714","2","747","213","2235","-513","0.33","647","213","2235","-513","100","-","-","-"
"1385","20230714","3","238","-2","-","-","-","238","-2","-","-","-","-","-","-"
"1386","20230714","3","55","-175","-","-","-","55","-","-","-","-","-175","-","-"
"1387","20230714","3","5","-1","-","-","-","5","-1","-","-","-","-","-","-"
"1388","20230714","3","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1389","20230714","3","51","-37","-","-","-","51","-28","-","-","-","-9","-","-"
"1390","20230714","3","1","-106","-","-","-","-","-106","-","-","1","-","-","-"
"1391","20230714","3","79","-","-","-","-","28","-","-","-","51","-","-","-"
"1392","20230714","3","206","-101","-","-","-","206","-30","-","-","-","-71","-","-"
"1393","20230714","3","41","-16","-","-","-","24","-11","-","-","17","-5","-","-"
"1394","20230714","3","17","-","-","-","-","13","-","-","-","4","-","-","-"
"1397","20230714","2","-","-5","10","-","-","-","-5","10","-","-","-","-","-"
"1398","20230714","2","2190","100","-","-","-","210","210","-","-","1980","-110","-","-"
"1399","20230714","2","10","10","-","-","-","10","10","-","-","-","-","-","-"
"1456","20230714","2","124849","491","250","128","499.4","116692","346","250","128","8157","145","-","-"
"1457","20230714","2","2730","378","216","41","12.64","887","2","216","41","1843","376","-","-"
"1458","20230714","2","118888","-9953","81727","-4051","1.45","81692","-7821","81727","-3851","37196","-2132","-","-200"
"1459","20230714","2","8893504","-13527","476680","-45851","18.66","6373261","-46218","476680","-45851","2520243","32691","-","-"
"1464","20230714","2","755","15","64","-","11.8","45","15","64","-","710","-","-","-"
"1465","20230714","2","1","-32","-","-","-","1","-","-","-","-","-32","-","-"
"1466","20230714","2","4566","1691","-","-","-","2814","1491","-","-","1752","200","-","-"
"1469","20230714","2","22500","-1030","640","40","35.16","18880","-910","640","40","3620","-120","-","-"
"1472","20230714","2","3556","2","28","9","127","510","2","28","9","3046","-","-","-"
