id,sec-code,filer-name,description
S100C3V1,24590,アウンコンサルティング株式会社,四半期報告書－第20期第2四半期(2017/09/01－2017/11/30)
S100C3YU,75810,株式会社サイゼリヤ,四半期報告書－第46期第1四半期(2017/09/01－2017/11/30)
S100C3GV,76030,株式会社マックハウス,四半期報告書－第28期第3四半期(2017/09/01－2017/11/30)
S100C3YT,75130,株式会社コジマ,四半期報告書－第56期第1四半期(2017/09/01－2017/11/30)
S100C3YQ,76070,株式会社進和,四半期報告書－第68期第1四半期(2017/09/01－2017/11/30)
S100C3VG,59670,ＴＯＮＥ株式会社,四半期報告書－第83期第2四半期(2017/09/01－2017/11/30)
S100C3Z3,38240,メディアファイブ株式会社,四半期報告書－第22期第2四半期(2017/09/01－2017/11/30)
S100C3Q2,89180,株式会社ランド,四半期報告書－第22期第3四半期(2017/09/01－2017/11/30)
S100C3EO,76010,株式会社ポプラ,四半期報告書－第43期第3四半期(2017/09/01－2017/11/30)
S100C37F,94140,日本ＢＳ放送株式会社,四半期報告書－第20期第1四半期(2017/09/01－2017/11/30)
S100C17J,32220,ユナイテッド・スーパーマーケット・ホールディングス株式会社,四半期報告書－第3期第3四半期(2017/09/01－2017/11/30)
S100C3YE,98610,株式会社吉野家ホールディングス,四半期報告書－第61期第3四半期(2017/09/01－2017/11/30)
S100C3IK,81550,三益半導体工業株式会社,四半期報告書－第49期第2四半期(2017/09/01－2017/11/30)
S100C3VI,62890,株式会社技研製作所,四半期報告書－第37期第1四半期(2017/09/01－2017/11/30)
S100C3Q3,30800,株式会社ジェーソン,四半期報告書－第33期第3四半期(2017/09/01－2017/11/30)
S100C3RN,31890,株式会社ＡＮＡＰ,四半期報告書－第27期第1四半期(2017/09/01－2017/11/30)
S100C3G8,26850,株式会社アダストリア,四半期報告書－第68期第3四半期(2017/09/01－2017/11/30)
S100C3QS,97160,株式会社乃村工藝社,四半期報告書－第81期第3四半期(2017/09/01－2017/11/30)
S100C3O3,33960,株式会社フェリシモ,四半期報告書－第53期第3四半期(2017/09/01－2017/11/30)
S100C3UN,27910,大黒天物産株式会社,四半期報告書－第32期第2四半期(2017/09/01－2017/11/30)
S100C401,26590,株式会社サンエー,四半期報告書－第48期第3四半期(2017/09/01－2017/11/30)
S100C3O2,,株式会社島忠,四半期報告書－第59期第1四半期(2017/09/01－2017/11/30)
S100C3QF,74270,エコートレーディング株式会社,四半期報告書－第47期第3四半期(2017/09/01－2017/11/30)
S100C3OX,80080,株式会社ヨンドシーホールディングス,四半期報告書－第68期第3四半期(2017/09/01－2017/11/30)
S100C394,30300,株式会社ハブ,四半期報告書－第20期第3四半期(2017/09/01－2017/11/30)
S100C3UG,76110,株式会社ハイデイ日高,四半期報告書－第40期第3四半期(2017/09/01－2017/11/30)
S100C3YS,77300,マニー株式会社,四半期報告書－第59期第1四半期(2017/09/01－2017/11/30)
S100C403,74340,株式会社オータケ,四半期報告書－第66期第2四半期(2017/09/01－2017/11/30)
S100C3BQ,31920,株式会社白鳩,四半期報告書－第46期第1四半期(2017/09/01－2017/11/30)
S100C3TQ,,株式会社キリン堂ホールディングス,四半期報告書－第4期第3四半期(2017/09/01－2017/11/30)
S100C411,,株式会社創通,四半期報告書－第56期第1四半期(2017/09/01－2017/11/30)
S100C404,62550,株式会社エヌ・ピー・シー,四半期報告書－第26期第1四半期(2017/09/01－2017/11/30)
S100C3FG,98460,株式会社天満屋ストア,四半期報告書－第49期第3四半期(2017/09/01－2017/11/30)
S100C3X4,27980,株式会社ワイズテーブルコーポレーション,四半期報告書－第19期第3四半期(2017/09/01－2017/11/30)
S100C3RZ,,株式会社一六堂,四半期報告書－第24期第3四半期(2017/09/01－2017/11/30)
S100C3U0,82780,株式会社フジ,四半期報告書－第51期第3四半期(2017/09/01－2017/11/30)
S100C41G,17120,株式会社ダイセキ環境ソリューション,四半期報告書－第22期第3四半期(2017/09/01－2017/11/30)
S100C3Z9,89050,イオンモール株式会社,四半期報告書－第107期第3四半期(2017/09/01－2017/11/30)
S100C2WI,82470,株式会社大和,四半期報告書－第102期第3四半期(2017/09/01－2017/11/30)
S100C3MC,96610,株式会社歌舞伎座,四半期報告書－第94期第3四半期(2017/09/01－2017/11/30)
